"id","origin","org_city","org_district","destination","dest_city","dest_district","distance","duration","case","pallet","to","dayo","td","dayd","LTL"
42,"B0FFK7ZQFN","Wuxi","江阴市","B00156D6K6","Shanghai","浦东新区",159.098,2.13333333333333,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
43,"B0FFK7ZQFN","Wuxi","江阴市","B01FE0J0V7","Wuxi","惠山区",63.02,1.13333333333333,"JS",7,"08:00","day 0","20:00","day 0",2642.038658
44,"B01FE0J0V7","Wuxi","惠山区","B0FFG94S3Z","Shanghai","浦东新区",169.63,2.23333333333333,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
45,"B0FFJONTQ7","Changzhou","新北区","B0FFI9JCED","Shanghai","青浦区",172.658,2.36666666666667,"JS",12,"08:00","day 0","20:00","day 0",4529.209128
46,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFH62FC9","Shanghai","金山区",237.496,3.16666666666667,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
47,"B0FFH1DRA5","Nanjing","栖霞区","B0FFG94S3Z","Shanghai","浦东新区",313.782,3.65,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
48,"B0FFL9CGXN","Nanjing","栖霞区","B0FFGO36Q6","Shanghai","浦东新区",314.77,4.1,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
49,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFHDQA5M","Suzhou","常熟市",158.71,2.15,"JS",13,"08:00","day 0","20:00","day 0",4906.643222
50,"B0FFL9Q85P","Nanjing","江宁区","B0FFHNXOVT","Suzhou","昆山市",265.763,3.11666666666667,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
51,"B0G0NZW2VU","Nanjing","江宁区","B0FFLCF954","Shanghai","宝山区",273.972,3.7,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
52,"B0FFL9Q85P","Nanjing","江宁区","B0FFJ1CPHP","Shanghai","嘉定区",272.21,3.25,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
53,"B0G13KYBJL","Nanjing","六合区","B01FE15UUN","Wuxi","江阴市",221.432,2.66666666666667,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
54,"B0FFL9CGXN","Nanjing","栖霞区","B0FFH61OBO","Suzhou","昆山市",244.017,3.21666666666667,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
55,"B0FFL9CGXN","Nanjing","栖霞区","B0FFL37B6B","Suzhou","昆山市",249.823,3.35,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
56,"B0FFL7OZ0J","Wuxi","锡山区","B0FFKSVI1S","Shanghai","奉贤区",158.693,2.25,"JS",10,"08:00","day 0","20:00","day 0",3774.34094
57,"B01FE0J0V7","Wuxi","惠山区","B0FFK7ZQFN","Wuxi","江阴市",61.225,1.1,"JS",15,"08:00","day 0","20:00","day 0",5661.51141
58,"B0FFHXJXZR","Changzhou","溧阳市","B02001C3PG","Suzhou","张家港市",137.954,1.86666666666667,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
59,"B0FFHXJXZR","Changzhou","溧阳市","B0FFHJD9U9","Wuxi","惠山区",97.487,1.48333333333333,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
60,"B0FFF8Z69A","Changzhou","钟楼区","B0FFHD3E8G","Suzhou","吴中区",119.803,1.8,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
61,"B0FFF8Z69A","Changzhou","钟楼区","B0IG9RDYYV","Suzhou","吴中区",136.444,2.05,"JS",9,"08:00","day 0","20:00","day 0",3396.906846
62,"B0FFF8Z69A","Changzhou","钟楼区","B0FFHFSCFH","Suzhou","吴中区",137.799,2.13333333333333,"JS",18,"12:00","day 0","24:00","day 0",6793.813692
63,"B0FFFRXR3L","Yangzhou","宝应县","B0FFFU612V","Wuxi","江阴市",213.789,2.9,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
64,"B0FFGTI293","Changzhou","新北区","B0FFITJD3C","Wuxi","锡山区",96.282,1.8,"JS",10,"08:00","day 0","20:00","day 0",3774.34094
65,"B0FFJONTQ7","Changzhou","新北区","B0FFHF2VI7","Wuxi","锡山区",65.066,1.5,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
66,"B0FFGTI293","Changzhou","新北区","B0FFHF2VI7","Wuxi","锡山区",71.237,1.5,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
67,"B0FFG0GSMW","Yangzhou","宝应县","B02001C3PG","Suzhou","张家港市",225.517,3.46666666666667,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
68,"B0FFFRXR3L","Yangzhou","宝应县","B02001C3PG","Suzhou","张家港市",225.923,3.45,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
69,"B0GUAXEBYM","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",167.831,2.06666666666667,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
70,"B0FFJONTQ7","Changzhou","新北区","B0FFL7OZ0J","Wuxi","锡山区",82.32,1.5,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
71,"B0FFJONTQ7","Changzhou","新北区","B0FFGIBTXI","Suzhou","太仓市",145.61,2.05,"JS",14,"08:00","day 0","20:00","day 0",5284.077316
72,"B0FFL9CGXN","Nanjing","栖霞区","B00156D6K6","Shanghai","浦东新区",309.736,4.18333333333333,"JS",18,"12:00","day 0","24:00","day 0",6793.813692
73,"B0FFJONTQ7","Changzhou","新北区","B0FFJRVTYE","Shanghai","松江区",195.042,2.48333333333333,"JS",7,"08:00","day 0","20:00","day 0",2642.038658
74,"B0FFGTI293","Changzhou","新北区","B0FFJRVTYE","Shanghai","松江区",201.213,2.51666666666667,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
75,"B0FFJONTQ7","Changzhou","新北区","B0FFGPRVIT","Shanghai","松江区",191.17,2.5,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
76,"B0FFHE4XO4","Changzhou","武进区","B0FFHNXOVT","Suzhou","昆山市",154.621,2.23333333333333,"JS",16,"12:00","day 0","24:00","day 0",6038.945504
77,"B0FFHXJXZR","Changzhou","溧阳市","B0FFLCF954","Shanghai","宝山区",221.607,3.06666666666667,"JS",14,"08:00","day 0","20:00","day 0",5284.077316
78,"B0FFFU612V","Wuxi","江阴市","B0FFKDRXE8","Shanghai","浦东新区",206.87,2.83333333333333,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
79,"B0FFK4CQ2L","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",159.587,2.58333333333333,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
80,"B0FFGYNGHQ","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",166.35,2.6,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
81,"B0GUAXEBYM","Changzhou","武进区","B0FFLCF954","Shanghai","宝山区",166.877,2.56666666666667,"JS",20,"12:00","day 0","24:00","day 0",7548.68188
82,"B0FFK4CQ2L","Changzhou","武进区","B00156D6K6","Shanghai","浦东新区",197.113,2.63333333333333,"JS",5,"08:00","day 0","20:00","day 0",1887.17047
83,"B0FFGYNGHQ","Changzhou","武进区","B0FFK7ZQFN","Wuxi","江阴市",64.971,1.03333333333333,"JS",5,"12:00","day 0","24:00","day 0",1887.17047
84,"B0FFL7OZ0J","Wuxi","锡山区","B0FFHFSCFH","Suzhou","吴中区",76.281,1.33333333333333,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
85,"B0FFK7ZQFN","Wuxi","江阴市","B0FFJ1CPHP","Shanghai","嘉定区",103.458,1.41666666666667,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
86,"B01FE15XQH","Wuxi","江阴市","B0FFKDRXE8","Shanghai","浦东新区",206.797,2.96666666666667,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
87,"B0FFITJD3C","Wuxi","锡山区","B0FFF4JOKL","Suzhou","昆山市",92.484,1.51666666666667,"JS",7,"12:00","day 0","24:00","day 0",2642.038658
88,"B0FFHF2VI7","Wuxi","锡山区","B0FFJ1CPHP","Shanghai","嘉定区",125.825,1.76666666666667,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
89,"B0FFITJD3C","Wuxi","锡山区","B0FFJ1CPHP","Shanghai","嘉定区",118.664,1.58333333333333,"JS",10,"08:00","day 0","20:00","day 0",3774.34094
90,"B0FFFTQ4U7","Wuxi","江阴市","B0FFG94S3Z","Shanghai","浦东新区",143.624,2.01666666666667,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
91,"B0FFHXJXZR","Changzhou","溧阳市","B0FFH62FC9","Shanghai","金山区",233.857,2.65,"JS",7,"08:00","day 0","20:00","day 0",2642.038658
92,"B0GUAXEBYM","Changzhou","武进区","B0FFHFSCFH","Suzhou","吴中区",113.84,1.68333333333333,"JS",6,"12:00","day 0","24:00","day 0",2264.604564
93,"B0FFGTI293","Changzhou","新北区","B0FFL37B6B","Suzhou","昆山市",159.486,2.18333333333333,"JS",6,"12:00","day 0","24:00","day 0",2264.604564
94,"B0FFGTI293","Changzhou","新北区","B0FFF4JOKL","Suzhou","昆山市",161.689,2.23333333333333,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
95,"B0FFHCRHH3","Changzhou","天宁区","B0FFG94S3Z","Shanghai","浦东新区",189.792,2.36666666666667,"JS",5,"12:00","day 0","24:00","day 0",1887.17047
96,"B0FFHE4XO4","Changzhou","武进区","B0FFL37B6B","Suzhou","昆山市",145.697,2.21666666666667,"JS",5,"08:00","day 0","20:00","day 0",1887.17047
97,"B0FFL9Q85P","Nanjing","江宁区","B0FFGJ1NAK","Suzhou","常熟市",215.323,2.68333333333333,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
98,"B0FFL9Q85P","Nanjing","江宁区","B0FFHDQA5M","Suzhou","常熟市",228.472,2.73333333333333,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
99,"B0FFK83QI3","Nanjing","江宁区","B0FFKDRXE8","Shanghai","浦东新区",329.524,3.88333333333333,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
100,"B00190CNHV","Nanjing","江宁区","B0FFLCF954","Shanghai","宝山区",279.395,3.7,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
101,"B0202173FW","Yangzhou","仪征市","B0FFGIBTXI","Suzhou","太仓市",250.701,3.11666666666667,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
102,"B00190CNHV","Nanjing","江宁区","B0FFL7OZ0J","Wuxi","锡山区",186.013,2.53333333333333,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
103,"B0FFGYNGHQ","Changzhou","武进区","B0FFL7OZ0J","Wuxi","锡山区",72.968,1.33333333333333,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
104,"B0FFG9F43K","Changzhou","武进区","B00156ODDT","Shanghai","长宁区",151.174,1.96666666666667,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
105,"B0FFGYNGHQ","Changzhou","武进区","B00156ODDT","Shanghai","长宁区",168.756,2.13333333333333,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
106,"B0FFGYNGHQ","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",159.205,2.13333333333333,"JS",6,"12:00","day 0","24:00","day 0",2264.604564
107,"B0FFH1DRA5","Nanjing","栖霞区","B0FFLCF954","Shanghai","宝山区",283.066,3.61666666666667,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
108,"B0FFF8Z69A","Changzhou","钟楼区","B0FFH6WPC3","Shanghai","金山区",212.576,2.96666666666667,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
109,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFJ1CPHP","Shanghai","嘉定区",202.448,2.7,"JS",6,"08:00","day 0","20:00","day 0",2264.604564
110,"B01FE0J0V7","Wuxi","惠山区","B0FFJ1CPHP","Shanghai","嘉定区",144.781,1.88333333333333,"JS",13,"08:00","day 0","20:00","day 0",4906.643222
111,"B0FFGYNGHQ","Changzhou","武进区","B0FFKDRXE8","Shanghai","浦东新区",227.463,2.96666666666667,"JS",9,"08:00","day 0","20:00","day 0",3396.906846
112,"B0FFGTI293","Changzhou","新北区","B00156D6K6","Shanghai","浦东新区",219.399,2.83333333333333,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
113,"B0FFGTI293","Changzhou","新北区","B00156GGDT","Shanghai","闵行区",215.314,2.93333333333333,"JS",15,"12:00","day 0","24:00","day 0",5661.51141
114,"B0FFG9F43K","Changzhou","武进区","B0FFJ1CPHP","Shanghai","嘉定区",141.752,1.96666666666667,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
115,"B0FFL7OZ0J","Wuxi","锡山区","B0FFG94S3Z","Shanghai","浦东新区",155.121,2.06666666666667,"JS",4,"12:00","day 0","24:00","day 0",1509.736376
116,"B0FFIS83Q7","Zhenjiang","丹阳市","B0FFKSVI1S","Shanghai","奉贤区",243.881,3.23333333333333,"JS",18,"12:00","day 0","24:00","day 0",6793.813692
117,"B01FE15XQH","Wuxi","江阴市","B0FFHC9CJ8","Suzhou","相城区",82.291,1.51666666666667,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
118,"B0FFFRS0IH","Nanjing","江宁区","B0FFHY6PN3","Suzhou","常熟市",207.279,2.48333333333333,"JS",5,"12:00","day 0","24:00","day 0",1887.17047
119,"B0FFL9Q85P","Nanjing","江宁区","B0FFHY6PN3","Suzhou","常熟市",213.845,2.58333333333333,"JS",15,"08:00","day 0","20:00","day 0",5661.51141
120,"B0FFGTI293","Changzhou","新北区","B0FFHNXOVT","Suzhou","昆山市",168.41,2.2,"JS",7,"12:00","day 0","24:00","day 0",2642.038658
121,"B0FFHJD9U9","Wuxi","惠山区","B02001C3PG","Suzhou","张家港市",69.583,1.3,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
122,"B0FFIS83Q7","Zhenjiang","丹阳市","B02000JJ21","Suzhou","吴中区",153.841,2.16666666666667,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
123,"B0G13KYBJL","Nanjing","六合区","B0FFFTQ4U7","Wuxi","江阴市",206.645,2.6,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
124,"B0FFGYNGHQ","Changzhou","武进区","B00156GGDT","Shanghai","闵行区",199.791,2.61666666666667,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
125,"B01FE15XQH","Wuxi","江阴市","B0FFITJD3C","Wuxi","锡山区",82.255,1.78333333333333,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
126,"B0FFFTQ4U7","Wuxi","江阴市","B0FFF4JOKL","Suzhou","昆山市",99.732,1.75,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
127,"B0FFFTQ4U7","Wuxi","江阴市","B0FFGO36Q6","Shanghai","浦东新区",155.339,2.26666666666667,"JS",11,"12:00","day 0","24:00","day 0",4151.775034
128,"B0FFHJD9U9","Wuxi","惠山区","B0FFHY6PN3","Suzhou","常熟市",87.726,1.46666666666667,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
129,"B01FE0J0V7","Wuxi","惠山区","B00156GGDT","Shanghai","闵行区",172.226,2.4,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
130,"B01FE0J0V7","Wuxi","惠山区","B0FFHDQA5M","Suzhou","常熟市",99.139,1.5,"JS",4,"08:00","day 0","20:00","day 0",1509.736376
131,"B0FFF8Z69A","Changzhou","钟楼区","B0FFGJ1NAK","Suzhou","常熟市",121.891,1.95,"JS",13,"08:00","day 0","20:00","day 0",4906.643222
132,"B0FFFU612V","Wuxi","江阴市","B0FFGIBTXI","Suzhou","太仓市",107.175,1.65,"JS",16,"12:00","day 0","24:00","day 0",6038.945504
133,"B01FE15XQH","Wuxi","江阴市","B0FFKZGWZ9","Suzhou","太仓市",121.397,1.86666666666667,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
134,"B0FFGTI293","Changzhou","新北区","B0FFI9JCED","Shanghai","青浦区",178.829,2.41666666666667,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
135,"B0202173FW","Yangzhou","仪征市","B0FFJ1CPHP","Shanghai","嘉定区",273.777,3.33333333333333,"JS",4,"08:00","day 0","20:00","day 0",1509.736376
136,"B0FFF8Z69A","Changzhou","钟楼区","B0FFJ1CPHP","Shanghai","嘉定区",178.778,2.55,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
137,"B0FFH1DRA5","Nanjing","栖霞区","B0FFHC9CJ8","Suzhou","相城区",197.382,2.56666666666667,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
138,"B0202150WR","Yangzhou","广陵区","B0FFKZGWZ9","Suzhou","太仓市",214.423,2.7,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
139,"B01FE0J0V7","Wuxi","惠山区","B0FFGAIWAV","Suzhou","昆山市",112.206,1.56666666666667,"JS",19,"12:00","day 0","24:00","day 0",7171.247786
140,"B01FE15XQH","Wuxi","江阴市","B0FFH61OBO","Suzhou","昆山市",139.653,1.93333333333333,"JS",16,"08:00","day 0","20:00","day 0",6038.945504
141,"B0FFFRS0IH","Nanjing","江宁区","B02001C3PG","Suzhou","张家港市",189.136,2.36666666666667,"JS",11,"12:00","day 0","24:00","day 0",4151.775034
142,"B0FFK4CQ2L","Changzhou","武进区","B0FFH62FC9","Shanghai","金山区",187.619,2.55,"JS",12,"08:00","day 0","20:00","day 0",4529.209128
143,"B01FE15UUN","Wuxi","江阴市","B0FFKSVI1S","Shanghai","奉贤区",164.09,2.25,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
144,"B0G13KYBJL","Nanjing","六合区","B0FFF4JOKL","Suzhou","昆山市",283.985,3.45,"JS",9,"08:00","day 0","20:00","day 0",3396.906846
145,"B0G13KYBJL","Nanjing","六合区","B0FFITJD3C","Wuxi","锡山区",218.578,3.26666666666667,"JS",6,"08:00","day 0","20:00","day 0",2264.604564
146,"B020216GML","Yangzhou","广陵区","B0FFG94S3Z","Shanghai","浦东新区",273.919,3.65,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
147,"B0FFHXJXZR","Changzhou","溧阳市","B0FFGJ1NAK","Suzhou","常熟市",157.575,2.11666666666667,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
148,"B0FFJONTQ7","Changzhou","新北区","B0FFG94S3Z","Shanghai","浦东新区",206.547,2.65,"JS",8,"12:00","day 0","24:00","day 0",3019.472752
149,"B0GUAXEBYM","Changzhou","武进区","B0FFK7ZQFN","Wuxi","江阴市",71.929,1.15,"JS",14,"08:00","day 0","20:00","day 0",5284.077316
150,"B0FFF8Z69A","Changzhou","钟楼区","B0FFH62FC9","Shanghai","金山区",213.826,2.88333333333333,"JS",15,"08:00","day 0","20:00","day 0",5661.51141
151,"B0FFF8Z69A","Changzhou","钟楼区","B0FFLCF954","Shanghai","宝山区",185.923,2.96666666666667,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
152,"B0FFK4CQ2L","Changzhou","武进区","B0FFGIBTXI","Suzhou","太仓市",129.366,1.93333333333333,"JS",6,"12:00","day 0","24:00","day 0",2264.604564
153,"B0FFF8Z69A","Changzhou","钟楼区","B0FFF4JOKL","Suzhou","昆山市",165.61,2.36666666666667,"JS",4,"12:00","day 0","24:00","day 0",1509.736376
154,"B0FFF8Z69A","Changzhou","钟楼区","B02001C3PG","Suzhou","张家港市",102.27,1.71666666666667,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
155,"B0G0NZW2VU","Nanjing","江宁区","B0FFHNXOVT","Suzhou","昆山市",260.509,3.23333333333333,"JS",5,"08:00","day 0","20:00","day 0",1887.17047
156,"B0FFK83QI3","Nanjing","江宁区","B0FFL37B6B","Suzhou","昆山市",246.024,2.88333333333333,"JS",15,"08:00","day 0","20:00","day 0",5661.51141
157,"B0FFL9Q85P","Nanjing","江宁区","B0FFH61OBO","Suzhou","昆山市",251.033,2.95,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
158,"B0FFHLH9SB","Zhenjiang","京口区","B0FFGIBTXI","Suzhou","太仓市",189.192,2.45,"JS",18,"12:00","day 0","24:00","day 0",6793.813692
159,"B0FFHCRHH3","Changzhou","天宁区","B0FFKDRXE8","Shanghai","浦东新区",220.06,2.88333333333333,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
160,"B0FFL7OZ0J","Wuxi","锡山区","B0FFH62FC9","Shanghai","金山区",152.308,2.08333333333333,"JS",7,"12:00","day 0","24:00","day 0",2642.038658
161,"B0FFITJD3C","Wuxi","锡山区","B00156D6K6","Shanghai","浦东新区",150.194,2.01666666666667,"JS",10,"12:00","day 0","24:00","day 0",3774.34094
